,manufacturer_name,model_name,transmission,color,odometer_value,year_produced,engine_type,body_type,price_usd
0,Subaru,Outback,automatic,silver,190000,2010,gasoline,universal,10900
1,Subaru,Outback,automatic,blue,290000,2002,gasoline,universal,5000
2,Subaru,Forester,automatic,red,402000,2001,gasoline,suv,2800
3,Subaru,Impreza,mechanical,blue,10000,1999,gasoline,sedan,9999
4,Subaru,Legacy,automatic,black,280000,2001,gasoline,universal,2134
5,Subaru,Outback,automatic,silver,132449,2011,gasoline,universal,14700
6,Subaru,Forester,automatic,black,318280,1998,gasoline,universal,3000
7,Subaru,Legacy,automatic,silver,350000,2004,gasoline,sedan,4500
8,Subaru,Outback,automatic,grey,179000,2010,gasoline,universal,12900
9,Subaru,Forester,automatic,silver,571317,1999,gasoline,universal,4200
10,Subaru,Forester,mechanical,other,280000,2003,gasoline,suv,6900
11,Subaru,Tribeca,automatic,grey,256000,2008,gasoline,suv,8350
12,Subaru,Forester,mechanical,other,321000,2002,gasoline,suv,4300
13,Subaru,Justy,mechanical,red,49999,2001,gasoline,hatchback,1666
14,Subaru,Outback,automatic,brown,154685,2011,gasoline,universal,8600
15,Subaru,Outback,automatic,black,163219,2004,gasoline,universal,7300
16,Subaru,Outback,automatic,other,318650,2005,gasoline,universal,7587
17,Subaru,Impreza,mechanical,blue,191000,2005,gasoline,sedan,10950
18,Subaru,Forester,automatic,silver,179000,2014,gasoline,suv,12700
19,Subaru,Forester,automatic,black,159000,2013,gasoline,suv,16500
20,Subaru,Outback,automatic,white,257495,2008,gasoline,universal,8700
21,Subaru,Tribeca,automatic,silver,241402,2005,gasoline,suv,7500
22,Subaru,Tribeca,automatic,black,188000,2006,gasoline,suv,8650
23,Subaru,Forester,automatic,blue,240000,2001,gasoline,universal,3500
24,Subaru,Legacy,automatic,green,249448,2002,gasoline,universal,3800
25,Subaru,Tribeca,automatic,other,250000,2007,gasoline,suv,7200
26,Subaru,Outback,automatic,green,417000,1997,gasoline,universal,1850
27,Subaru,Outback,automatic,violet,377000,1999,gasoline,universal,3800
28,Subaru,Impreza,mechanical,black,300000,1999,gasoline,universal,3000
29,Subaru,Legacy,mechanical,black,270000,2004,gasoline,sedan,6200
30,Subaru,Forester,mechanical,green,444444,1999,gasoline,universal,3700
